presentation_position,trace_sequence,frame_sequence,goal_completion,solver_completion,grounding_backend,solver_backend,solver_failure,body_grounded,root_hit,root_surface,pelvis_target,pelvis_resolved,reject_left,reject_right,pelvis_height_mode,movement_compensation_mode,left_grounded,left_hit,left_surface,left_plant_confidence,left_sole_height,left_placement_weight,left_plant_weight,left_contact_weight,left_goal_position_weight,left_goal_rotation_weight,left_constraint,left_transition,left_lock,left_prediction_reject,left_goal_application,left_goal_source,left_solver_result_available,left_leg_extension,left_ankle_twist,left_query_count,left_rejected_query_count,left_grounding_x,left_grounding_y,left_grounding_z,left_goal_x,left_goal_y,left_goal_z,left_solved_x,left_solved_y,left_solved_z,left_position_residual,left_rotation_residual_degrees,right_grounded,right_hit,right_surface,right_plant_confidence,right_sole_height,right_placement_weight,right_plant_weight,right_contact_weight,right_goal_position_weight,right_goal_rotation_weight,right_constraint,right_transition,right_lock,right_prediction_reject,right_goal_application,right_goal_source,right_solver_result_available,right_leg_extension,right_ankle_twist,right_query_count,right_rejected_query_count,right_grounding_x,right_grounding_y,right_grounding_z,right_goal_x,right_goal_y,right_goal_z,right_solved_x,right_solved_y,right_solved_z,right_position_residual,right_rotation_residual_degrees
1079,241,1079,1080,1080,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.002421897,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9277493,0,0,0,-0.2468909,0.2938543,0.1273251,-0.2468909,0.2938543,0.1273251,-0.2468909,0.2938541,0.1273252,1.837139E-07,0,true,true,-1666,1,-0.0001385376,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9346148,0,0,0,0.1999292,0.295518,0.05933454,0.1999292,0.295518,0.05933454,0.1999292,0.2955179,0.05933452,1.210576E-07,0
1080,242,1080,1081,1081,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.00269429,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9266416,0,0,0,-0.2428527,0.2936496,0.1279259,-0.2428527,0.2936496,0.1279259,-0.2428527,0.2936495,0.1279258,1.173319E-07,0,true,true,-1666,1,-3.038242E-05,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9357006,0,0,0,0.202613,0.295037,0.06184765,0.202613,0.295037,0.06184765,0.202613,0.295037,0.06184765,4.470348E-08,0
1081,243,1081,1082,1082,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.002451081,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9276766,0,0,0,-0.2384287,0.2941564,0.1296467,-0.2384287,0.2941564,0.1296467,-0.2384287,0.2941564,0.1296467,9.541399E-08,0,true,true,-1666,1,8.081831E-05,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9388882,0,0,0,0.2051978,0.295261,0.06520507,0.2051978,0.295261,0.06520507,0.2051976,0.295261,0.0652052,1.764703E-07,0
1082,244,1082,1083,1083,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.002230924,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.929862,0,0,0,-0.2354946,0.2944446,0.1300425,-0.2354946,0.2944446,0.1300425,-0.2354946,0.2944446,0.1300425,5.575504E-08,0,true,true,-1666,1,0.0001814788,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9424295,0,0,0,0.2090326,0.2958645,0.06605338,0.2090326,0.2958645,0.06605338,0.2090327,0.2958645,0.06605338,2.980232E-08,0
1083,245,1083,1084,1084,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.002025118,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.932439,0,0,0,-0.2351847,0.2946293,0.1301,-0.2351847,0.2946293,0.1301,-0.2351847,0.2946294,0.1301,6.82857E-08,0,true,true,-1666,1,0.0002755778,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9453638,0,0,0,0.2093522,0.2958251,0.06732316,0.2093522,0.2958251,0.06732316,0.2093522,0.2958251,0.06732312,5.625065E-08,0
1084,246,1084,1085,1085,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.001896166,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9341015,0,0,0,-0.2359997,0.2946995,0.130149,-0.2359997,0.2946995,0.130149,-0.2359996,0.2946995,0.1301491,1.467594E-07,0,true,true,-1666,1,0.0003345375,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.946732,0,0,0,0.2082999,0.295625,0.06804645,0.2082999,0.295625,0.06804645,0.2082999,0.295625,0.06804656,1.156641E-07,0
1085,247,1085,1086,1086,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.00170505,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9364014,0,0,0,-0.2381099,0.2951182,0.130286,-0.2381099,0.2951182,0.130286,-0.2381099,0.2951182,0.1302861,1.237783E-07,0,true,true,-1666,1,0.0004219201,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9480844,0,0,0,0.2057262,0.295597,0.06883061,0.2057262,0.295597,0.06883061,0.2057262,0.2955969,0.06883067,1.074538E-07,0
1086,248,1086,1087,1087,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.00149847,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9385521,0,0,0,-0.2405774,0.2956319,0.1309554,-0.2405774,0.2956319,0.1309554,-0.2405774,0.2956319,0.1309555,1.074538E-07,0,true,true,-1666,1,0.000516373,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9486964,0,0,0,0.202515,0.2958217,0.06903055,0.202515,0.2958217,0.06903055,0.2025149,0.2958217,0.06903052,2.686345E-08,0
1087,249,1087,1088,1088,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.0013334,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9398217,0,0,0,-0.2427104,0.2958403,0.1307919,-0.2427104,0.2958403,0.1307919,-0.2427104,0.2958404,0.1307919,9.657056E-08,0,true,true,-1666,1,0.0005918464,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9485352,0,0,0,0.199896,0.2959603,0.06838398,0.199896,0.2959603,0.06838398,0.199896,0.2959602,0.06838395,9.335551E-08,0
1088,250,1088,1089,1089,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.001163849,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9405474,0,0,0,-0.2450779,0.2957357,0.1300278,-0.2450779,0.2957357,0.1300278,-0.2450778,0.2957357,0.1300279,1.437016E-07,0,true,true,-1666,1,0.0004103289,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9476032,0,0,0,0.1974351,0.2958872,0.06668857,0.1974351,0.2958872,0.06668857,0.1974351,0.2958873,0.06668869,1.237783E-07,0
