SampleIdentity,FrameSequence,CompletionIdentity,Side,GroundPathInputIdentity,GroundContactIndex,GroundContactSegmentIndex,GroundContactSurfaceIdentity,GroundContactCandidateIdentity,GroundContactPositionX,GroundContactPositionY,GroundContactPositionZ,GroundContactNormalX,GroundContactNormalY,GroundContactNormalZ,GroundContactQueryDistance,GroundEnvelopeVertexIndex,GroundEnvelopeVertexX,GroundEnvelopeVertexY,GroundEnvelopeVertexZ
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,0,0,-206850,8589727742,41.43,0,-2.9429996,-3.81469872E-05,1,0,0.350000024,0,41.4300041,0,-2.9429996
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,1,1,-206850,12884695038,41.6003227,0,-2.95226288,-3.81469872E-05,1,-4.7683734E-06,0.350000024,1,44.666,0,-3.119
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,2,2,-206850,17179662334,41.7706337,0,-2.961526,0,1,-7.15256E-06,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,3,3,-206850,21474629630,41.9409523,0,-2.97078919,0,1,7.15256E-06,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,4,4,-206850,25769596926,42.1112671,0,-2.98005223,0,1,-1.430512E-05,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,5,5,-206850,30064564222,42.28158,0,-2.98931551,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,6,6,-206850,34359531518,42.4518967,0,-2.99857831,0,1,4.7683734E-06,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,7,7,-206850,38654498814,42.62221,0,-3.007842,0,1,0,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,8,8,-206850,42949466110,42.79253,0,-3.017105,0,1,4.7683734E-06,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,9,9,-206850,47244433406,42.9628448,0,-3.026368,-3.81469872E-05,1,2.3841867E-06,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,10,10,-206850,51539400702,43.13316,0,-3.03563142,0,1,2.3841867E-06,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,11,11,-206850,55834367998,43.3034744,0,-3.0448947,0,1,9.536747E-06,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,12,12,-206850,60129335294,43.473793,0,-3.0541575,0,1,-9.536747E-06,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,13,13,-206850,64424302590,43.6441078,0,-3.063421,0,1,-1.19209335E-05,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,14,14,-206850,68719269886,43.8144226,0,-3.072684,0,1,7.15256E-06,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,15,15,-206850,73014237182,43.9847374,0,-3.08194733,0,1,1.66893078E-05,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,16,16,-206850,77309204478,44.1550522,0,-3.09121037,0,1,-7.15256E-06,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,17,17,-206850,81604171774,44.3253746,0,-3.10047364,0,1,-7.15256E-06,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,47,48,Left,7384480971781851434,18,18,-206850,85899139070,44.49568,0,-3.10973668,0,1,9.536747E-06,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,48,49,Left,9576650812050402709,0,0,-206850,8589727742,41.4300041,0,-2.94299936,0,1,-7.15256E-06,0.350000024,0,41.4300041,0,-2.9429996
0cc823b960954394b1bd36f4370e6114,48,49,Left,9576650812050402709,1,1,-206850,12884695038,41.6086159,0,-2.96344423,-3.81469872E-05,1,-7.15256E-06,0.350000024,1,44.645,0,-3.311001
0cc823b960954394b1bd36f4370e6114,48,49,Left,9576650812050402709,2,2,-206850,17179662334,41.7872276,0,-2.98388863,0,1,-2.3841867E-06,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,48,49,Left,9576650812050402709,3,3,-206850,21474629630,41.9658356,0,-3.00433326,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
0cc823b960954394b1bd36f4370e6114,48,49,Left,9576650812050402709,4,4,-206850,25769596926,42.1444473,0,-3.02477741,0,1,4.7683734E-06,0.350000024,-1,0,0,0
