SampleIdentity,FrameSequence,CompletionIdentity,Side,GroundPathInputIdentity,GroundContactIndex,GroundContactSegmentIndex,GroundContactSurfaceIdentity,GroundContactCandidateIdentity,GroundContactPositionX,GroundContactPositionY,GroundContactPositionZ,GroundContactNormalX,GroundContactNormalY,GroundContactNormalZ,GroundContactQueryDistance,GroundEnvelopeVertexIndex,GroundEnvelopeVertexX,GroundEnvelopeVertexY,GroundEnvelopeVertexZ
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,0,0,-14224,8589920368,41.389,0,-2.94200039,0,1,0,0.350000024,0,41.389,0,-2.94200039
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,1,1,-14224,12884887664,41.5684433,0,-2.94750047,0,1,9.536747E-06,0.350000024,1,44.619,0,-3.041
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,2,2,-14224,17179854960,41.74789,0,-2.95300055,-3.81469872E-05,1,-1.430512E-05,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,3,3,-14224,21474822256,41.9273338,0,-2.95850039,0,1,-9.536747E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,4,4,-14224,25769789552,42.1067772,0,-2.96400023,0,1,2.3841867E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,5,5,-14224,30064756848,42.2862244,0,-2.9695003,0,1,-9.536747E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,6,6,-14224,34359724144,42.4656677,0,-2.97500038,0,1,9.536747E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,7,7,-14224,38654691440,42.64511,0,-2.98050022,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,8,8,-14224,42949658736,42.8245544,0,-2.986,0,1,7.15256E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,9,9,-14224,47244626032,43.0039978,0,-2.99150038,0,1,-9.536747E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,10,10,-14224,51539593328,43.183445,0,-2.99700022,3.81469872E-05,1,4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,11,11,-14224,55834560624,43.36289,0,-3.0025,0,1,-7.15256E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,12,12,-14224,60129527920,43.5423355,0,-3.00800014,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,13,13,-14224,64424495216,43.72178,0,-3.01350021,0,1,4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,14,14,-14224,68719462512,43.9012222,0,-3.019,0,1,-9.536747E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,15,15,-14224,73014429808,44.0806656,0,-3.0245,-3.81469872E-05,1,9.536747E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,16,16,-14224,77309397104,44.26011,0,-3.03,0,1,-1.66893078E-05,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,99,100,Left,1789539716672776864,17,17,-14224,81604364400,44.4395561,0,-3.0355,0,1,4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,0,0,-14224,8589920368,41.389,0,-2.94200039,0,1,0,0.350000024,0,41.389,0,-2.94200039
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,1,1,-14224,12884887664,41.568222,0,-2.95400047,-3.81469872E-05,1,-4.7683734E-06,0.350000024,1,44.615,0,-3.15799975
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,2,2,-14224,17179854960,41.7474442,0,-2.96600032,0,1,-1.430512E-05,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,3,3,-14224,21474822256,41.9266663,0,-2.97800016,0,1,9.536747E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,4,4,-14224,25769789552,42.10589,0,-2.99000025,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,5,5,-14224,30064756848,42.28511,0,-3.00200033,0,1,0,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,6,6,-14224,34359724144,42.4643326,0,-3.01400018,-3.81469872E-05,1,-9.536747E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,7,7,-14224,38654691440,42.6435547,0,-3.026,-3.81469872E-05,1,-4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,8,8,-14224,42949658736,42.8227768,0,-3.038,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,9,9,-14224,47244626032,43.002,0,-3.05000019,0,1,4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,10,10,-14224,51539593328,43.1812248,0,-3.0619998,-3.81469872E-05,1,4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,11,11,-14224,55834560624,43.3604469,0,-3.074,0,1,4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,12,12,-14224,60129527920,43.53967,0,-3.086,0,1,-9.536747E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,13,13,-14224,64424495216,43.71889,0,-3.09799981,0,1,7.15256E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,14,14,-14224,68719462512,43.8981133,0,-3.10999966,0,1,-2.3841867E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,15,15,-14224,73014429808,44.0773354,0,-3.12199974,0,1,7.15256E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,16,16,-14224,77309397104,44.2565575,0,-3.13399982,0,1,0,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,100,101,Left,14904506384506757396,17,17,-14224,81604364400,44.43578,0,-3.14599967,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,0,0,-14224,8589920368,41.389,0,-2.94200039,0,1,0,0.350000024,0,41.389,0,-2.94200039
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,1,1,-14224,12884887664,41.568222,0,-2.95400047,-3.81469872E-05,1,-4.7683734E-06,0.350000024,1,44.615,0,-3.15799975
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,2,2,-14224,17179854960,41.7474442,0,-2.96600032,0,1,-1.430512E-05,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,3,3,-14224,21474822256,41.9266663,0,-2.97800016,0,1,9.536747E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,4,4,-14224,25769789552,42.10589,0,-2.99000025,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,5,5,-14224,30064756848,42.28511,0,-3.00200033,0,1,0,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,6,6,-14224,34359724144,42.4643326,0,-3.01400018,-3.81469872E-05,1,-9.536747E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,7,7,-14224,38654691440,42.6435547,0,-3.026,-3.81469872E-05,1,-4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,8,8,-14224,42949658736,42.8227768,0,-3.038,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,9,9,-14224,47244626032,43.002,0,-3.05000019,0,1,4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,10,10,-14224,51539593328,43.1812248,0,-3.0619998,-3.81469872E-05,1,4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,11,11,-14224,55834560624,43.3604469,0,-3.074,0,1,4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,12,12,-14224,60129527920,43.53967,0,-3.086,0,1,-9.536747E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,13,13,-14224,64424495216,43.71889,0,-3.09799981,0,1,7.15256E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,14,14,-14224,68719462512,43.8981133,0,-3.10999966,0,1,-2.3841867E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,15,15,-14224,73014429808,44.0773354,0,-3.12199974,0,1,7.15256E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,16,16,-14224,77309397104,44.2565575,0,-3.13399982,0,1,0,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,101,102,Left,14904506384506757396,17,17,-14224,81604364400,44.43578,0,-3.14599967,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
8f0824c8781a48329f69ddfd3a43f53d,102,103,Left,10825767224087909724,0,0,-14224,8589920368,41.389,0,-2.94200039,0,1,0,0.350000024,0,41.389,0,-2.94200039
8f0824c8781a48329f69ddfd3a43f53d,102,103,Left,10825767224087909724,1,1,-14224,12884887664,41.56761,0,-2.962278,0,1,-1.430512E-05,0.350000024,1,44.6039963,0,-3.30700016
8f0824c8781a48329f69ddfd3a43f53d,102,103,Left,10825767224087909724,2,2,-14224,17179854960,41.74622,0,-2.98255587,0,1,7.15256E-06,0.350000024,-1,0,0,0
