SampleIdentity,FrameSequence,CompletionIdentity,Side,GroundPathInputIdentity,GroundContactIndex,GroundContactSegmentIndex,GroundContactSurfaceIdentity,GroundContactCandidateIdentity,GroundContactPositionX,GroundContactPositionY,GroundContactPositionZ,GroundContactNormalX,GroundContactNormalY,GroundContactNormalZ,GroundContactQueryDistance,GroundEnvelopeVertexIndex,GroundEnvelopeVertexX,GroundEnvelopeVertexY,GroundEnvelopeVertexZ
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,0,0,-33516,8589901076,41.389,0,-2.94200039,0,1,0,0.350000024,0,41.389,0,-2.94200039
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,1,1,-33516,12884868372,41.5684433,0,-2.94750047,0,1,9.536747E-06,0.350000024,1,44.619,0,-3.041
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,2,2,-33516,17179835668,41.74789,0,-2.95300055,-3.81469872E-05,1,-1.430512E-05,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,3,3,-33516,21474802964,41.9273338,0,-2.95850039,0,1,-9.536747E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,4,4,-33516,25769770260,42.1067772,0,-2.96400023,0,1,2.3841867E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,5,5,-33516,30064737556,42.2862244,0,-2.9695003,0,1,-9.536747E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,6,6,-33516,34359704852,42.4656677,0,-2.97500038,0,1,9.536747E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,7,7,-33516,38654672148,42.64511,0,-2.98050022,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,8,8,-33516,42949639444,42.8245544,0,-2.986,0,1,7.15256E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,9,9,-33516,47244606740,43.0039978,0,-2.99150038,0,1,-9.536747E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,10,10,-33516,51539574036,43.183445,0,-2.99700022,3.81469872E-05,1,4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,11,11,-33516,55834541332,43.36289,0,-3.0025,0,1,-7.15256E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,12,12,-33516,60129508628,43.5423355,0,-3.00800014,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,13,13,-33516,64424475924,43.72178,0,-3.01350021,0,1,4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,14,14,-33516,68719443220,43.9012222,0,-3.019,0,1,-9.536747E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,15,15,-33516,73014410516,44.0806656,0,-3.0245,-3.81469872E-05,1,9.536747E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,16,16,-33516,77309377812,44.26011,0,-3.03,0,1,-1.66893078E-05,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,99,100,Left,4544675958454504752,17,17,-33516,81604345108,44.4395561,0,-3.0355,0,1,4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,0,0,-33516,8589901076,41.389,0,-2.94200039,0,1,0,0.350000024,0,41.389,0,-2.94200039
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,1,1,-33516,12884868372,41.568222,0,-2.95400047,-3.81469872E-05,1,-4.7683734E-06,0.350000024,1,44.615,0,-3.15799975
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,2,2,-33516,17179835668,41.7474442,0,-2.96600032,0,1,-1.430512E-05,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,3,3,-33516,21474802964,41.9266663,0,-2.97800016,0,1,9.536747E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,4,4,-33516,25769770260,42.10589,0,-2.99000025,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,5,5,-33516,30064737556,42.28511,0,-3.00200033,0,1,0,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,6,6,-33516,34359704852,42.4643326,0,-3.01400018,-3.81469872E-05,1,-9.536747E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,7,7,-33516,38654672148,42.6435547,0,-3.026,-3.81469872E-05,1,-4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,8,8,-33516,42949639444,42.8227768,0,-3.038,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,9,9,-33516,47244606740,43.002,0,-3.05000019,0,1,4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,10,10,-33516,51539574036,43.1812248,0,-3.0619998,-3.81469872E-05,1,4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,11,11,-33516,55834541332,43.3604469,0,-3.074,0,1,4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,12,12,-33516,60129508628,43.53967,0,-3.086,0,1,-9.536747E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,13,13,-33516,64424475924,43.71889,0,-3.09799981,0,1,7.15256E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,14,14,-33516,68719443220,43.8981133,0,-3.10999966,0,1,-2.3841867E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,15,15,-33516,73014410516,44.0773354,0,-3.12199974,0,1,7.15256E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,16,16,-33516,77309377812,44.2565575,0,-3.13399982,0,1,0,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,100,101,Left,10852959756684935812,17,17,-33516,81604345108,44.43578,0,-3.14599967,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,101,102,Left,10852959756684935812,0,0,-33516,8589901076,41.389,0,-2.94200039,0,1,0,0.350000024,0,41.389,0,-2.94200039
848a1e6ab15042628b42d7a67f9dcb0b,101,102,Left,10852959756684935812,1,1,-33516,12884868372,41.568222,0,-2.95400047,-3.81469872E-05,1,-4.7683734E-06,0.350000024,1,44.615,0,-3.15799975
848a1e6ab15042628b42d7a67f9dcb0b,101,102,Left,10852959756684935812,2,2,-33516,17179835668,41.7474442,0,-2.96600032,0,1,-1.430512E-05,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,101,102,Left,10852959756684935812,3,3,-33516,21474802964,41.9266663,0,-2.97800016,0,1,9.536747E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,101,102,Left,10852959756684935812,4,4,-33516,25769770260,42.10589,0,-2.99000025,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,101,102,Left,10852959756684935812,5,5,-33516,30064737556,42.28511,0,-3.00200033,0,1,0,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,101,102,Left,10852959756684935812,6,6,-33516,34359704852,42.4643326,0,-3.01400018,-3.81469872E-05,1,-9.536747E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,101,102,Left,10852959756684935812,7,7,-33516,38654672148,42.6435547,0,-3.026,-3.81469872E-05,1,-4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,101,102,Left,10852959756684935812,8,8,-33516,42949639444,42.8227768,0,-3.038,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,101,102,Left,10852959756684935812,9,9,-33516,47244606740,43.002,0,-3.05000019,0,1,4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,101,102,Left,10852959756684935812,10,10,-33516,51539574036,43.1812248,0,-3.0619998,-3.81469872E-05,1,4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,101,102,Left,10852959756684935812,11,11,-33516,55834541332,43.3604469,0,-3.074,0,1,4.7683734E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,101,102,Left,10852959756684935812,12,12,-33516,60129508628,43.53967,0,-3.086,0,1,-9.536747E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,101,102,Left,10852959756684935812,13,13,-33516,64424475924,43.71889,0,-3.09799981,0,1,7.15256E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,101,102,Left,10852959756684935812,14,14,-33516,68719443220,43.8981133,0,-3.10999966,0,1,-2.3841867E-06,0.350000024,-1,0,0,0
848a1e6ab15042628b42d7a67f9dcb0b,101,102,Left,10852959756684935812,15,15,-33516,73014410516,44.0773354,0,-3.12199974,0,1,7.15256E-06,0.350000024,-1,0,0,0
