SampleIdentity,FrameSequence,CompletionIdentity,Side,GroundPathInputIdentity,GroundContactIndex,GroundContactSegmentIndex,GroundContactSurfaceIdentity,GroundContactCandidateIdentity,GroundContactPositionX,GroundContactPositionY,GroundContactPositionZ,GroundContactNormalX,GroundContactNormalY,GroundContactNormalZ,GroundContactQueryDistance,GroundEnvelopeVertexIndex,GroundEnvelopeVertexX,GroundEnvelopeVertexY,GroundEnvelopeVertexZ
b5fdc9bbf4ed4c0ebd21798de39c453e,99,100,Left,7143243812757790396,0,0,-46322,8589888270,41.389,0,-2.94200039,0,1,0,0.350000024,0,41.389,0,-2.94200039
b5fdc9bbf4ed4c0ebd21798de39c453e,99,100,Left,7143243812757790396,1,1,-46322,12884855566,41.5684433,0,-2.94750047,0,1,9.536747E-06,0.350000024,1,44.619,0,-3.041
b5fdc9bbf4ed4c0ebd21798de39c453e,99,100,Left,7143243812757790396,2,2,-46322,17179822862,41.74789,0,-2.95300055,-3.81469872E-05,1,-1.430512E-05,0.350000024,-1,0,0,0
b5fdc9bbf4ed4c0ebd21798de39c453e,99,100,Left,7143243812757790396,3,3,-46322,21474790158,41.9273338,0,-2.95850039,0,1,-9.536747E-06,0.350000024,-1,0,0,0
b5fdc9bbf4ed4c0ebd21798de39c453e,99,100,Left,7143243812757790396,4,4,-46322,25769757454,42.1067772,0,-2.96400023,0,1,2.3841867E-06,0.350000024,-1,0,0,0
b5fdc9bbf4ed4c0ebd21798de39c453e,99,100,Left,7143243812757790396,5,5,-46322,30064724750,42.2862244,0,-2.9695003,0,1,-9.536747E-06,0.350000024,-1,0,0,0
b5fdc9bbf4ed4c0ebd21798de39c453e,99,100,Left,7143243812757790396,6,6,-46322,34359692046,42.4656677,0,-2.97500038,0,1,9.536747E-06,0.350000024,-1,0,0,0
b5fdc9bbf4ed4c0ebd21798de39c453e,99,100,Left,7143243812757790396,7,7,-46322,38654659342,42.64511,0,-2.98050022,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
b5fdc9bbf4ed4c0ebd21798de39c453e,99,100,Left,7143243812757790396,8,8,-46322,42949626638,42.8245544,0,-2.986,0,1,7.15256E-06,0.350000024,-1,0,0,0
b5fdc9bbf4ed4c0ebd21798de39c453e,99,100,Left,7143243812757790396,9,9,-46322,47244593934,43.0039978,0,-2.99150038,0,1,-9.536747E-06,0.350000024,-1,0,0,0
