SampleIdentity,FrameSequence,CompletionIdentity,Side,GroundPathInputIdentity,GroundContactIndex,GroundContactSegmentIndex,GroundContactSurfaceIdentity,GroundContactCandidateIdentity,GroundContactPositionX,GroundContactPositionY,GroundContactPositionZ,GroundContactNormalX,GroundContactNormalY,GroundContactNormalZ,GroundContactQueryDistance,GroundEnvelopeVertexIndex,GroundEnvelopeVertexX,GroundEnvelopeVertexY,GroundEnvelopeVertexZ
07e3a9be101b414f9a65ef4c683eafba,99,100,Left,13723469370172409429,0,0,-65268,8589869324,41.389,0,-2.93400025,0,1,2.3841867E-06,0.350000024,0,41.389,0,-2.93400049
07e3a9be101b414f9a65ef4c683eafba,99,100,Left,13723469370172409429,1,1,-65268,12884836620,41.56844,0,-2.939945,0,1,7.15256E-06,0.350000024,1,44.619,0,-3.041
07e3a9be101b414f9a65ef4c683eafba,99,100,Left,13723469370172409429,2,2,-65268,17179803916,41.74789,0,-2.94588923,3.81469872E-05,1,-1.430512E-05,0.350000024,-1,0,0,0
07e3a9be101b414f9a65ef4c683eafba,99,100,Left,13723469370172409429,3,3,-65268,21474771212,41.9273338,0,-2.95183349,0,1,7.15256E-06,0.350000024,-1,0,0,0
07e3a9be101b414f9a65ef4c683eafba,99,100,Left,13723469370172409429,4,4,-65268,25769738508,42.1067772,0,-2.95777822,3.81469872E-05,1,-4.7683734E-06,0.350000024,-1,0,0,0
07e3a9be101b414f9a65ef4c683eafba,99,100,Left,13723469370172409429,5,5,-65268,30064705804,42.28622,0,-2.96372247,0,1,-7.15256E-06,0.350000024,-1,0,0,0
07e3a9be101b414f9a65ef4c683eafba,99,100,Left,13723469370172409429,6,6,-65268,34359673100,42.4656677,0,-2.96966672,0,1,-1.66893078E-05,0.350000024,-1,0,0,0
07e3a9be101b414f9a65ef4c683eafba,99,100,Left,13723469370172409429,7,7,-65268,38654640396,42.64511,0,-2.97561145,0,1,0,0.350000024,-1,0,0,0
07e3a9be101b414f9a65ef4c683eafba,99,100,Left,13723469370172409429,8,8,-65268,42949607692,42.8245544,0,-2.9815557,-3.81469872E-05,1,-7.15256E-06,0.350000024,-1,0,0,0
07e3a9be101b414f9a65ef4c683eafba,99,100,Left,13723469370172409429,9,9,-65268,47244574988,43.003994,0,-2.9875,3.81469872E-05,1,-2.3841867E-06,0.350000024,-1,0,0,0
07e3a9be101b414f9a65ef4c683eafba,99,100,Left,13723469370172409429,10,10,-65268,51539542284,43.183445,0,-2.99344468,-3.81469872E-05,1,-9.536747E-06,0.350000024,-1,0,0,0
