SampleIdentity,FrameSequence,CompletionIdentity,Side,GroundPathInputIdentity,GroundContactIndex,GroundContactSegmentIndex,GroundContactSurfaceIdentity,GroundContactCandidateIdentity,GroundContactPositionX,GroundContactPositionY,GroundContactPositionZ,GroundContactNormalX,GroundContactNormalY,GroundContactNormalZ,GroundContactQueryDistance,GroundEnvelopeVertexIndex,GroundEnvelopeVertexX,GroundEnvelopeVertexY,GroundEnvelopeVertexZ
c28b9e47774b4867b8a6f9dbc37b1312,123,124,Right,16104860457343937987,0,0,-127322,8589807270,42.2349968,0,-2.19699931,0,1,-4.7683734E-06,0.350000024,0,42.235,0,-2.19699931
c28b9e47774b4867b8a6f9dbc37b1312,123,124,Right,16104860457343937987,1,1,-127322,12884774566,42.4003372,0,-2.15306568,-3.81469872E-05,1,0,0.350000024,1,44.715,0,-1.53799951
c28b9e47774b4867b8a6f9dbc37b1312,123,124,Right,16104860457343937987,2,2,-127322,17179741862,42.5656624,0,-2.10913277,0,1,-9.536747E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,123,124,Right,16104860457343937987,3,3,-127322,21474709158,42.731,0,-2.06519938,0,1,-7.15256E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,123,124,Right,16104860457343937987,4,4,-127322,25769676454,42.8963356,0,-2.021266,0,1,1.19209335E-05,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,123,124,Right,16104860457343937987,5,5,-127322,30064643750,43.0616646,0,-1.97733283,-3.81469872E-05,1,-3.57628E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,123,124,Right,16104860457343937987,6,6,-127322,34359611046,43.227,0,-1.93339944,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,123,124,Right,16104860457343937987,7,7,-127322,38654578342,43.39233,0,-1.889466,0,1,-7.15256E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,123,124,Right,16104860457343937987,8,8,-127322,42949545638,43.5576668,0,-1.84553277,0,1,3.57628E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,123,124,Right,16104860457343937987,9,9,-127322,47244512934,43.7229958,0,-1.8015995,0,1,7.15256E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,123,124,Right,16104860457343937987,10,10,-127322,51539480230,43.8883324,0,-1.75766611,0,1,-1.19209335E-05,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,123,124,Right,16104860457343937987,11,11,-127322,55834447526,44.0536652,0,-1.71373284,-3.81469872E-05,1,1.19209335E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,123,124,Right,16104860457343937987,12,12,-127322,60129414822,44.218998,0,-1.66979957,0,1,7.15256E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,123,124,Right,16104860457343937987,13,13,-127322,64424382118,44.3843346,0,-1.62586617,0,1,-8.344654E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,123,124,Right,16104860457343937987,14,14,-127322,68719349414,44.5496635,0,-1.58193278,0,1,-5.96046675E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,124,125,Right,16104860457343937987,0,0,-127322,8589807270,42.2349968,0,-2.19699931,0,1,-4.7683734E-06,0.350000024,0,42.235,0,-2.19699931
c28b9e47774b4867b8a6f9dbc37b1312,124,125,Right,16104860457343937987,1,1,-127322,12884774566,42.4003372,0,-2.15306568,-3.81469872E-05,1,0,0.350000024,1,44.715,0,-1.53799951
c28b9e47774b4867b8a6f9dbc37b1312,124,125,Right,16104860457343937987,2,2,-127322,17179741862,42.5656624,0,-2.10913277,0,1,-9.536747E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,124,125,Right,16104860457343937987,3,3,-127322,21474709158,42.731,0,-2.06519938,0,1,-7.15256E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,124,125,Right,16104860457343937987,4,4,-127322,25769676454,42.8963356,0,-2.021266,0,1,1.19209335E-05,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,124,125,Right,16104860457343937987,5,5,-127322,30064643750,43.0616646,0,-1.97733283,-3.81469872E-05,1,-3.57628E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,124,125,Right,16104860457343937987,6,6,-127322,34359611046,43.227,0,-1.93339944,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,124,125,Right,16104860457343937987,7,7,-127322,38654578342,43.39233,0,-1.889466,0,1,-7.15256E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,124,125,Right,16104860457343937987,8,8,-127322,42949545638,43.5576668,0,-1.84553277,0,1,3.57628E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,124,125,Right,16104860457343937987,9,9,-127322,47244512934,43.7229958,0,-1.8015995,0,1,7.15256E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,124,125,Right,16104860457343937987,10,10,-127322,51539480230,43.8883324,0,-1.75766611,0,1,-1.19209335E-05,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,124,125,Right,16104860457343937987,11,11,-127322,55834447526,44.0536652,0,-1.71373284,-3.81469872E-05,1,1.19209335E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,124,125,Right,16104860457343937987,12,12,-127322,60129414822,44.218998,0,-1.66979957,0,1,7.15256E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,124,125,Right,16104860457343937987,13,13,-127322,64424382118,44.3843346,0,-1.62586617,0,1,-8.344654E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,124,125,Right,16104860457343937987,14,14,-127322,68719349414,44.5496635,0,-1.58193278,0,1,-5.96046675E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,125,126,Right,16104860457343937987,0,0,-127322,8589807270,42.2349968,0,-2.19699931,0,1,-4.7683734E-06,0.350000024,0,42.235,0,-2.19699931
c28b9e47774b4867b8a6f9dbc37b1312,125,126,Right,16104860457343937987,1,1,-127322,12884774566,42.4003372,0,-2.15306568,-3.81469872E-05,1,0,0.350000024,1,44.715,0,-1.53799951
c28b9e47774b4867b8a6f9dbc37b1312,125,126,Right,16104860457343937987,2,2,-127322,17179741862,42.5656624,0,-2.10913277,0,1,-9.536747E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,125,126,Right,16104860457343937987,3,3,-127322,21474709158,42.731,0,-2.06519938,0,1,-7.15256E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,125,126,Right,16104860457343937987,4,4,-127322,25769676454,42.8963356,0,-2.021266,0,1,1.19209335E-05,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,125,126,Right,16104860457343937987,5,5,-127322,30064643750,43.0616646,0,-1.97733283,-3.81469872E-05,1,-3.57628E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,125,126,Right,16104860457343937987,6,6,-127322,34359611046,43.227,0,-1.93339944,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,125,126,Right,16104860457343937987,7,7,-127322,38654578342,43.39233,0,-1.889466,0,1,-7.15256E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,125,126,Right,16104860457343937987,8,8,-127322,42949545638,43.5576668,0,-1.84553277,0,1,3.57628E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,125,126,Right,16104860457343937987,9,9,-127322,47244512934,43.7229958,0,-1.8015995,0,1,7.15256E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,125,126,Right,16104860457343937987,10,10,-127322,51539480230,43.8883324,0,-1.75766611,0,1,-1.19209335E-05,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,125,126,Right,16104860457343937987,11,11,-127322,55834447526,44.0536652,0,-1.71373284,-3.81469872E-05,1,1.19209335E-06,0.350000024,-1,0,0,0
c28b9e47774b4867b8a6f9dbc37b1312,125,126,Right,16104860457343937987,12,12,-127322,60129414822,44.218998,0,-1.66979957,0,1,7.15256E-06,0.350000024,-1,0,0,0
