SampleIdentity,FrameSequence,CompletionIdentity,Side,GroundPathInputIdentity,GroundContactIndex,GroundContactSegmentIndex,GroundContactSurfaceIdentity,GroundContactCandidateIdentity,GroundContactPositionX,GroundContactPositionY,GroundContactPositionZ,GroundContactNormalX,GroundContactNormalY,GroundContactNormalZ,GroundContactQueryDistance,GroundEnvelopeVertexIndex,GroundEnvelopeVertexX,GroundEnvelopeVertexY,GroundEnvelopeVertexZ
4611ddab52bc4970882b9d238c5db789,123,124,Right,4513620863189980271,0,0,-142022,8589792570,42.2349968,0,-2.19699931,0,1,-4.7683734E-06,0.350000024,0,42.235,0,-2.19699931
4611ddab52bc4970882b9d238c5db789,123,124,Right,4513620863189980271,1,1,-142022,12884759866,42.4003372,0,-2.15306568,-3.81469872E-05,1,0,0.350000024,1,44.715,0,-1.53799951
4611ddab52bc4970882b9d238c5db789,123,124,Right,4513620863189980271,2,2,-142022,17179727162,42.5656624,0,-2.10913277,0,1,-9.536747E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,123,124,Right,4513620863189980271,3,3,-142022,21474694458,42.731,0,-2.06519938,0,1,-7.15256E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,123,124,Right,4513620863189980271,4,4,-142022,25769661754,42.8963356,0,-2.021266,0,1,1.19209335E-05,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,123,124,Right,4513620863189980271,5,5,-142022,30064629050,43.0616646,0,-1.97733283,-3.81469872E-05,1,-3.57628E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,123,124,Right,4513620863189980271,6,6,-142022,34359596346,43.227,0,-1.93339944,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,123,124,Right,4513620863189980271,7,7,-142022,38654563642,43.39233,0,-1.889466,0,1,-7.15256E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,123,124,Right,4513620863189980271,8,8,-142022,42949530938,43.5576668,0,-1.84553277,0,1,3.57628E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,123,124,Right,4513620863189980271,9,9,-142022,47244498234,43.7229958,0,-1.8015995,0,1,7.15256E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,123,124,Right,4513620863189980271,10,10,-142022,51539465530,43.8883324,0,-1.75766611,0,1,-1.19209335E-05,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,123,124,Right,4513620863189980271,11,11,-142022,55834432826,44.0536652,0,-1.71373284,-3.81469872E-05,1,1.19209335E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,123,124,Right,4513620863189980271,12,12,-142022,60129400122,44.218998,0,-1.66979957,0,1,7.15256E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,123,124,Right,4513620863189980271,13,13,-142022,64424367418,44.3843346,0,-1.62586617,0,1,-8.344654E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,123,124,Right,4513620863189980271,14,14,-142022,68719334714,44.5496635,0,-1.58193278,0,1,-5.96046675E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,124,125,Right,4513620863189980271,0,0,-142022,8589792570,42.2349968,0,-2.19699931,0,1,-4.7683734E-06,0.350000024,0,42.235,0,-2.19699931
4611ddab52bc4970882b9d238c5db789,124,125,Right,4513620863189980271,1,1,-142022,12884759866,42.4003372,0,-2.15306568,-3.81469872E-05,1,0,0.350000024,1,44.715,0,-1.53799951
4611ddab52bc4970882b9d238c5db789,124,125,Right,4513620863189980271,2,2,-142022,17179727162,42.5656624,0,-2.10913277,0,1,-9.536747E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,124,125,Right,4513620863189980271,3,3,-142022,21474694458,42.731,0,-2.06519938,0,1,-7.15256E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,124,125,Right,4513620863189980271,4,4,-142022,25769661754,42.8963356,0,-2.021266,0,1,1.19209335E-05,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,124,125,Right,4513620863189980271,5,5,-142022,30064629050,43.0616646,0,-1.97733283,-3.81469872E-05,1,-3.57628E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,124,125,Right,4513620863189980271,6,6,-142022,34359596346,43.227,0,-1.93339944,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,124,125,Right,4513620863189980271,7,7,-142022,38654563642,43.39233,0,-1.889466,0,1,-7.15256E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,124,125,Right,4513620863189980271,8,8,-142022,42949530938,43.5576668,0,-1.84553277,0,1,3.57628E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,124,125,Right,4513620863189980271,9,9,-142022,47244498234,43.7229958,0,-1.8015995,0,1,7.15256E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,124,125,Right,4513620863189980271,10,10,-142022,51539465530,43.8883324,0,-1.75766611,0,1,-1.19209335E-05,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,124,125,Right,4513620863189980271,11,11,-142022,55834432826,44.0536652,0,-1.71373284,-3.81469872E-05,1,1.19209335E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,124,125,Right,4513620863189980271,12,12,-142022,60129400122,44.218998,0,-1.66979957,0,1,7.15256E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,124,125,Right,4513620863189980271,13,13,-142022,64424367418,44.3843346,0,-1.62586617,0,1,-8.344654E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,124,125,Right,4513620863189980271,14,14,-142022,68719334714,44.5496635,0,-1.58193278,0,1,-5.96046675E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,125,126,Right,4513620863189980271,0,0,-142022,8589792570,42.2349968,0,-2.19699931,0,1,-4.7683734E-06,0.350000024,0,42.235,0,-2.19699931
4611ddab52bc4970882b9d238c5db789,125,126,Right,4513620863189980271,1,1,-142022,12884759866,42.4003372,0,-2.15306568,-3.81469872E-05,1,0,0.350000024,1,44.715,0,-1.53799951
4611ddab52bc4970882b9d238c5db789,125,126,Right,4513620863189980271,2,2,-142022,17179727162,42.5656624,0,-2.10913277,0,1,-9.536747E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,125,126,Right,4513620863189980271,3,3,-142022,21474694458,42.731,0,-2.06519938,0,1,-7.15256E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,125,126,Right,4513620863189980271,4,4,-142022,25769661754,42.8963356,0,-2.021266,0,1,1.19209335E-05,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,125,126,Right,4513620863189980271,5,5,-142022,30064629050,43.0616646,0,-1.97733283,-3.81469872E-05,1,-3.57628E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,125,126,Right,4513620863189980271,6,6,-142022,34359596346,43.227,0,-1.93339944,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,125,126,Right,4513620863189980271,7,7,-142022,38654563642,43.39233,0,-1.889466,0,1,-7.15256E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,125,126,Right,4513620863189980271,8,8,-142022,42949530938,43.5576668,0,-1.84553277,0,1,3.57628E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,125,126,Right,4513620863189980271,9,9,-142022,47244498234,43.7229958,0,-1.8015995,0,1,7.15256E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,125,126,Right,4513620863189980271,10,10,-142022,51539465530,43.8883324,0,-1.75766611,0,1,-1.19209335E-05,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,125,126,Right,4513620863189980271,11,11,-142022,55834432826,44.0536652,0,-1.71373284,-3.81469872E-05,1,1.19209335E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,125,126,Right,4513620863189980271,12,12,-142022,60129400122,44.218998,0,-1.66979957,0,1,7.15256E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,125,126,Right,4513620863189980271,13,13,-142022,64424367418,44.3843346,0,-1.62586617,0,1,-8.344654E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,125,126,Right,4513620863189980271,14,14,-142022,68719334714,44.5496635,0,-1.58193278,0,1,-5.96046675E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,126,127,Right,14033028533642247463,0,0,-142022,8589792570,42.235,0,-2.19699931,0,1,0,0.350000024,0,42.235,0,-2.19699931
4611ddab52bc4970882b9d238c5db789,126,127,Right,14033028533642247463,1,1,-142022,12884759866,42.4033356,0,-2.157666,0,1,-2.3841867E-06,0.350000024,1,44.76,0,-1.60699916
4611ddab52bc4970882b9d238c5db789,126,127,Right,14033028533642247463,2,2,-142022,17179727162,42.5716667,0,-2.11833262,0,1,-2.3841867E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,126,127,Right,14033028533642247463,3,3,-142022,21474694458,42.7399979,0,-2.07899928,0,1,0,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,126,127,Right,14033028533642247463,4,4,-142022,25769661754,42.9083328,0,-2.039666,0,1,-7.15256E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,126,127,Right,14033028533642247463,5,5,-142022,30064629050,43.0766678,0,-2.00033259,0,1,7.15256E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,126,127,Right,14033028533642247463,6,6,-142022,34359596346,43.245,0,-1.96099925,3.81469872E-05,1,-9.536747E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,126,127,Right,14033028533642247463,7,7,-142022,38654563642,43.41333,0,-1.92166591,3.81469872E-05,1,7.15256E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,126,127,Right,14033028533642247463,8,8,-142022,42949530938,43.581665,0,-1.88233256,0,1,8.344654E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,126,127,Right,14033028533642247463,9,9,-142022,47244498234,43.75,0,-1.84299922,0,1,4.7683734E-06,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,126,127,Right,14033028533642247463,10,10,-142022,51539465530,43.91833,0,-1.80366588,0,1,1.072884E-05,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,126,127,Right,14033028533642247463,11,11,-142022,55834432826,44.0866623,0,-1.76433253,0,1,1.430512E-05,0.350000024,-1,0,0,0
4611ddab52bc4970882b9d238c5db789,126,127,Right,14033028533642247463,12,12,-142022,60129400122,44.2549973,0,-1.72499919,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
