SampleIdentity,FrameSequence,CompletionIdentity,Side,GroundPathInputIdentity,GroundContactIndex,GroundContactSegmentIndex,GroundContactSurfaceIdentity,GroundContactCandidateIdentity,GroundContactPositionX,GroundContactPositionY,GroundContactPositionZ,GroundContactNormalX,GroundContactNormalY,GroundContactNormalZ,GroundContactQueryDistance,GroundEnvelopeVertexIndex,GroundEnvelopeVertexX,GroundEnvelopeVertexY,GroundEnvelopeVertexZ
2e911742a9334223a19e9548dfc6abcd,123,124,Right,14896778015616567271,0,0,-154212,8589780380,42.2349968,0,-2.19699931,0,1,-4.7683734E-06,0.350000024,0,42.235,0,-2.19699931
2e911742a9334223a19e9548dfc6abcd,123,124,Right,14896778015616567271,1,1,-154212,12884747676,42.4003372,0,-2.15306568,-3.81469872E-05,1,0,0.350000024,1,44.715,0,-1.53799951
2e911742a9334223a19e9548dfc6abcd,123,124,Right,14896778015616567271,2,2,-154212,17179714972,42.5656624,0,-2.10913277,0,1,-9.536747E-06,0.350000024,-1,0,0,0
2e911742a9334223a19e9548dfc6abcd,123,124,Right,14896778015616567271,3,3,-154212,21474682268,42.731,0,-2.06519938,0,1,-7.15256E-06,0.350000024,-1,0,0,0
2e911742a9334223a19e9548dfc6abcd,123,124,Right,14896778015616567271,4,4,-154212,25769649564,42.8963356,0,-2.021266,0,1,1.19209335E-05,0.350000024,-1,0,0,0
2e911742a9334223a19e9548dfc6abcd,123,124,Right,14896778015616567271,5,5,-154212,30064616860,43.0616646,0,-1.97733283,-3.81469872E-05,1,-3.57628E-06,0.350000024,-1,0,0,0
2e911742a9334223a19e9548dfc6abcd,123,124,Right,14896778015616567271,6,6,-154212,34359584156,43.227,0,-1.93339944,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
2e911742a9334223a19e9548dfc6abcd,123,124,Right,14896778015616567271,7,7,-154212,38654551452,43.39233,0,-1.889466,0,1,-7.15256E-06,0.350000024,-1,0,0,0
2e911742a9334223a19e9548dfc6abcd,123,124,Right,14896778015616567271,8,8,-154212,42949518748,43.5576668,0,-1.84553277,0,1,3.57628E-06,0.350000024,-1,0,0,0
2e911742a9334223a19e9548dfc6abcd,123,124,Right,14896778015616567271,9,9,-154212,47244486044,43.7229958,0,-1.8015995,0,1,7.15256E-06,0.350000024,-1,0,0,0
2e911742a9334223a19e9548dfc6abcd,123,124,Right,14896778015616567271,10,10,-154212,51539453340,43.8883324,0,-1.75766611,0,1,-1.19209335E-05,0.350000024,-1,0,0,0
2e911742a9334223a19e9548dfc6abcd,123,124,Right,14896778015616567271,11,11,-154212,55834420636,44.0536652,0,-1.71373284,-3.81469872E-05,1,1.19209335E-06,0.350000024,-1,0,0,0
2e911742a9334223a19e9548dfc6abcd,123,124,Right,14896778015616567271,12,12,-154212,60129387932,44.218998,0,-1.66979957,0,1,7.15256E-06,0.350000024,-1,0,0,0
2e911742a9334223a19e9548dfc6abcd,123,124,Right,14896778015616567271,13,13,-154212,64424355228,44.3843346,0,-1.62586617,0,1,-8.344654E-06,0.350000024,-1,0,0,0
2e911742a9334223a19e9548dfc6abcd,123,124,Right,14896778015616567271,14,14,-154212,68719322524,44.5496635,0,-1.58193278,0,1,-5.96046675E-06,0.350000024,-1,0,0,0
2e911742a9334223a19e9548dfc6abcd,124,125,Right,14896778015616567271,0,0,-154212,8589780380,42.2349968,0,-2.19699931,0,1,-4.7683734E-06,0.350000024,0,42.235,0,-2.19699931
2e911742a9334223a19e9548dfc6abcd,124,125,Right,14896778015616567271,1,1,-154212,12884747676,42.4003372,0,-2.15306568,-3.81469872E-05,1,0,0.350000024,1,44.715,0,-1.53799951
2e911742a9334223a19e9548dfc6abcd,124,125,Right,14896778015616567271,2,2,-154212,17179714972,42.5656624,0,-2.10913277,0,1,-9.536747E-06,0.350000024,-1,0,0,0
2e911742a9334223a19e9548dfc6abcd,124,125,Right,14896778015616567271,3,3,-154212,21474682268,42.731,0,-2.06519938,0,1,-7.15256E-06,0.350000024,-1,0,0,0
