SampleIdentity,FrameSequence,CompletionIdentity,Side,GroundPathInputIdentity,GroundContactIndex,GroundContactSegmentIndex,GroundContactSurfaceIdentity,GroundContactCandidateIdentity,GroundContactPositionX,GroundContactPositionY,GroundContactPositionZ,GroundContactNormalX,GroundContactNormalY,GroundContactNormalZ,GroundContactQueryDistance,GroundEnvelopeVertexIndex,GroundEnvelopeVertexX,GroundEnvelopeVertexY,GroundEnvelopeVertexZ
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,0,0,-165046,8589769546,41.389,0,-2.93400025,0,1,2.3841867E-06,0.350000024,0,41.389,0,-2.93400049
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,1,1,-165046,12884736842,41.56844,0,-2.939945,0,1,7.15256E-06,0.350000024,1,44.619,0,-3.041
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,2,2,-165046,17179704138,41.74789,0,-2.94588923,3.81469872E-05,1,-1.430512E-05,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,3,3,-165046,21474671434,41.9273338,0,-2.95183349,0,1,7.15256E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,4,4,-165046,25769638730,42.1067772,0,-2.95777822,3.81469872E-05,1,-4.7683734E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,5,5,-165046,30064606026,42.28622,0,-2.96372247,0,1,-7.15256E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,6,6,-165046,34359573322,42.4656677,0,-2.96966672,0,1,-1.66893078E-05,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,7,7,-165046,38654540618,42.64511,0,-2.97561145,0,1,0,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,8,8,-165046,42949507914,42.8245544,0,-2.9815557,-3.81469872E-05,1,-7.15256E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,9,9,-165046,47244475210,43.003994,0,-2.9875,3.81469872E-05,1,-2.3841867E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,10,10,-165046,51539442506,43.183445,0,-2.99344468,-3.81469872E-05,1,-9.536747E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,11,11,-165046,55834409802,43.36289,0,-2.999389,3.81469872E-05,1,9.536747E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,12,12,-165046,60129377098,43.54233,0,-3.00533319,0,1,0,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,13,13,-165046,64424344394,43.72178,0,-3.011278,0,1,2.3841867E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,14,14,-165046,68719311690,43.9012222,0,-3.01722217,0,1,-7.15256E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,15,15,-165046,73014278986,44.0806656,0,-3.02316642,0,1,2.3841867E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,16,16,-165046,77309246282,44.2601051,0,-3.02911115,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,99,100,Left,7699064054327966001,17,17,-165046,81604213578,44.4395561,0,-3.0350554,0,1,-2.3841867E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,0,0,-165046,8589769546,41.389,0,-2.93400049,0,1,0,0.350000024,0,41.389,0,-2.93400049
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,1,1,-165046,12884736842,41.568222,0,-2.946445,0,1,-2.3841867E-06,0.350000024,1,44.615,0,-3.15799975
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,2,2,-165046,17179704138,41.7474442,0,-2.95888925,-3.81469872E-05,1,-7.15256E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,3,3,-165046,21474671434,41.9266663,0,-2.9713335,-3.81469872E-05,1,0,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,4,4,-165046,25769638730,42.10589,0,-2.983778,0,1,-7.15256E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,5,5,-165046,30064606026,42.28511,0,-2.9962225,0,1,1.430512E-05,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,6,6,-165046,34359573322,42.4643326,0,-3.008667,0,1,-2.3841867E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,7,7,-165046,38654540618,42.6435547,0,-3.02111125,3.81469872E-05,1,-1.430512E-05,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,8,8,-165046,42949507914,42.8227768,0,-3.03355551,0,1,0,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,9,9,-165046,47244475210,43.0020027,0,-3.046,0,1,7.15256E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,10,10,-165046,51539442506,43.1812248,0,-3.0584445,0,1,2.3841867E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,11,11,-165046,55834409802,43.3604469,0,-3.070889,0,1,-1.19209335E-05,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,12,12,-165046,60129377098,43.53967,0,-3.08333325,-3.81469872E-05,1,4.7683734E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,13,13,-165046,64424344394,43.71889,0,-3.09577775,0,1,2.3841867E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,14,14,-165046,68719311690,43.8981133,0,-3.108222,-3.81469872E-05,1,-4.7683734E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,15,15,-165046,73014278986,44.0773354,0,-3.1206665,3.81469872E-05,1,4.7683734E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,16,16,-165046,77309246282,44.2565575,0,-3.133111,0,1,1.66893078E-05,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,100,101,Left,14451829928591151877,17,17,-165046,81604213578,44.43578,0,-3.14555526,0,1,2.3841867E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,101,102,Left,14451829928591151877,0,0,-165046,8589769546,41.389,0,-2.93400049,0,1,0,0.350000024,0,41.389,0,-2.93400049
4be93128113d41f3ba27111313149bd8,101,102,Left,14451829928591151877,1,1,-165046,12884736842,41.568222,0,-2.946445,0,1,-2.3841867E-06,0.350000024,1,44.615,0,-3.15799975
4be93128113d41f3ba27111313149bd8,101,102,Left,14451829928591151877,2,2,-165046,17179704138,41.7474442,0,-2.95888925,-3.81469872E-05,1,-7.15256E-06,0.350000024,-1,0,0,0
4be93128113d41f3ba27111313149bd8,101,102,Left,14451829928591151877,3,3,-165046,21474671434,41.9266663,0,-2.9713335,-3.81469872E-05,1,0,0.350000024,-1,0,0,0
