SampleIdentity,FrameSequence,CompletionIdentity,Side,GroundPathInputIdentity,GroundContactIndex,GroundContactSegmentIndex,GroundContactSurfaceIdentity,GroundContactCandidateIdentity,GroundContactPositionX,GroundContactPositionY,GroundContactPositionZ,GroundContactNormalX,GroundContactNormalY,GroundContactNormalZ,GroundContactQueryDistance,GroundEnvelopeVertexIndex,GroundEnvelopeVertexX,GroundEnvelopeVertexY,GroundEnvelopeVertexZ
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,0,0,-186914,8589747678,41.389,0,-2.93400025,0,1,2.3841867E-06,0.350000024,0,41.389,0,-2.93400049
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,1,1,-186914,12884714974,41.56844,0,-2.939945,0,1,7.15256E-06,0.350000024,1,44.619,0,-3.041
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,2,2,-186914,17179682270,41.74789,0,-2.94588923,3.81469872E-05,1,-1.430512E-05,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,3,3,-186914,21474649566,41.9273338,0,-2.95183349,0,1,7.15256E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,4,4,-186914,25769616862,42.1067772,0,-2.95777822,3.81469872E-05,1,-4.7683734E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,5,5,-186914,30064584158,42.28622,0,-2.96372247,0,1,-7.15256E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,6,6,-186914,34359551454,42.4656677,0,-2.96966672,0,1,-1.66893078E-05,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,7,7,-186914,38654518750,42.64511,0,-2.97561145,0,1,0,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,8,8,-186914,42949486046,42.8245544,0,-2.9815557,-3.81469872E-05,1,-7.15256E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,9,9,-186914,47244453342,43.003994,0,-2.9875,3.81469872E-05,1,-2.3841867E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,10,10,-186914,51539420638,43.183445,0,-2.99344468,-3.81469872E-05,1,-9.536747E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,11,11,-186914,55834387934,43.36289,0,-2.999389,3.81469872E-05,1,9.536747E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,12,12,-186914,60129355230,43.54233,0,-3.00533319,0,1,0,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,13,13,-186914,64424322526,43.72178,0,-3.011278,0,1,2.3841867E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,14,14,-186914,68719289822,43.9012222,0,-3.01722217,0,1,-7.15256E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,15,15,-186914,73014257118,44.0806656,0,-3.02316642,0,1,2.3841867E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,16,16,-186914,77309224414,44.2601051,0,-3.02911115,0,1,-4.7683734E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,99,100,Left,3372069265318256605,17,17,-186914,81604191710,44.4395561,0,-3.0350554,0,1,-2.3841867E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,0,0,-186914,8589747678,41.389,0,-2.93400049,0,1,0,0.350000024,0,41.389,0,-2.93400049
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,1,1,-186914,12884714974,41.568222,0,-2.946445,0,1,-2.3841867E-06,0.350000024,1,44.615,0,-3.15799975
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,2,2,-186914,17179682270,41.7474442,0,-2.95888925,-3.81469872E-05,1,-7.15256E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,3,3,-186914,21474649566,41.9266663,0,-2.9713335,-3.81469872E-05,1,0,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,4,4,-186914,25769616862,42.10589,0,-2.983778,0,1,-7.15256E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,5,5,-186914,30064584158,42.28511,0,-2.9962225,0,1,1.430512E-05,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,6,6,-186914,34359551454,42.4643326,0,-3.008667,0,1,-2.3841867E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,7,7,-186914,38654518750,42.6435547,0,-3.02111125,3.81469872E-05,1,-1.430512E-05,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,8,8,-186914,42949486046,42.8227768,0,-3.03355551,0,1,0,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,9,9,-186914,47244453342,43.0020027,0,-3.046,0,1,7.15256E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,10,10,-186914,51539420638,43.1812248,0,-3.0584445,0,1,2.3841867E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,11,11,-186914,55834387934,43.3604469,0,-3.070889,0,1,-1.19209335E-05,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,12,12,-186914,60129355230,43.53967,0,-3.08333325,-3.81469872E-05,1,4.7683734E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,13,13,-186914,64424322526,43.71889,0,-3.09577775,0,1,2.3841867E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,14,14,-186914,68719289822,43.8981133,0,-3.108222,-3.81469872E-05,1,-4.7683734E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,15,15,-186914,73014257118,44.0773354,0,-3.1206665,3.81469872E-05,1,4.7683734E-06,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,16,16,-186914,77309224414,44.2565575,0,-3.133111,0,1,1.66893078E-05,0.350000024,-1,0,0,0
ee310807473843af80200f58e48efb0d,100,101,Left,17355839209467844585,17,17,-186914,81604191710,44.43578,0,-3.14555526,0,1,2.3841867E-06,0.350000024,-1,0,0,0
